Day 35,Day 39,Day 37,Day 38,Day 41,Day 36,Day 33,Day 34,Day 40,Day 32,Day 30,Day 28,Day 31,Day 27,Day 29,Day 26,Day 25,Day 24,Day 22,Day 23,Day 21,Day 20,Day 19,Day 18,Day 16,Day 17,Day 15,Day 14,Day 12,Day 13,Day 10,Day 11,Day 2,Day 4,Day 1,Day 3,Day 5,Day 6,Day 7,Day 9,Day 8
c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c

0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.125,174.5,41.25,113.5,63.25,40.5,42.375,53.875,23.125,31.75,15.125,14.625,13.125,17.625,10.125,9.25,7.125,9.125,4.0,9.0,13.875,11.75,11.375,11.0,16.5,7.125,7.0,13.875,12.125,15.625,16.625
0.3201754385964912,0.07894736842105263,0.043859649122807015,0.039473684210526314,0.17105263157894737,0.13596491228070176,0.2719298245614035,0.41228070175438597,0.03508771929824561,0.38596491228070173,11.842105263157896,12.899122807017545,9.18859649122807,10.5,12.078947368421053,8.451754385964913,9.464912280701755,11.394736842105264,7.021929824561403,9.149122807017545,6.745614035087719,5.083333333333333,3.969298245614035,3.8728070175438596,5.109649122807017,3.789473684210526,4.157894736842105,3.706140350877193,3.0921052631578947,3.482456140350877,4.140350877192983,3.482456140350877,3.087719298245614,3.2982456140350878,4.3464912280701755,3.206140350877193,3.1140350877192984,2.557017543859649,2.6271929824561404,3.719298245614035,2.7982456140350878
0.4897959183673469,0.24489795918367346,1.2857142857142858,0.2857142857142857,0.1836734693877551,0.7142857142857143,0.9387755102040817,0.8163265306122449,0.20408163265306123,1.346938775510204,18.3265306122449,45.16326530612245,14.591836734693878,29.551020408163264,23.816326530612244,18.653061224489797,23.346938775510203,25.081632653061224,16.346938775510203,17.79591836734694,15.877551020408163,12.959183673469388,9.285714285714286,8.938775510204081,10.346938775510203,9.408163265306122,8.918367346938776,6.6938775510204085,7.959183673469388,6.551020408163265,7.510204081632653,7.489795918367347,8.346938775510203,9.224489795918368,10.551020408163266,7.387755102040816,7.326530612244898,8.040816326530612,8.26530612244898,7.244897959183674,7.918367346938775
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,206.0,89.0,124.0,121.0,176.0,204.0,205.0,77.0,147.0,135.0,110.0,36.0,110.0,92.0,59.0,31.0,8.0,3.0,13.0,9.0,14.0,1.0,0.0,16.0,3.0,5.0,1.0,3.0,8.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,78.0,24.0,84.0,83.0,163.0,157.0,144.0,83.0,141.0,43.0,49.0,42.0,80.0,86.0,74.0,74.0,111.0,100.0,74.0,58.0,61.0,23.0,22.0,29.0,22.0,16.0,23.0,45.0,50.0,23.0
2.5,1.0,1.25,0.75,0.5,2.75,6.25,3.75,4.75,7.25,50.25,74.0,21.75,77.0,42.5,107.25,81.25,77.25,97.0,50.25,53.75,39.25,39.5,34.5,24.75,16.75,33.75,21.0,26.75,42.5,44.75,35.75,28.75,16.75,18.25,27.75,11.25,31.0,31.5,38.25,44.75
0.3828125,0.4609375,0.6640625,0.6640625,0.609375,0.7421875,0.765625,0.78125,0.5234375,0.578125,9.65625,10.90625,9.03125,12.3828125,9.4765625,14.6796875,12.28125,16.2890625,13.984375,17.265625,10.3828125,11.6171875,10.296875,8.46875,9.296875,9.2734375,6.8203125,7.5703125,6.3984375,7.890625,9.15625,7.453125,7.765625,7.4140625,10.21875,8.21875,6.109375,8.140625,7.5234375,7.734375,8.640625
2.8125,3.25,4.375,2.375,2.0,3.25,3.375,3.0625,1.25,2.125,14.625,32.75,15.125,32.4375,19.8125,36.0625,43.0625,48.25,32.0,31.3125,51.875,41.75,23.875,26.75,27.125,28.4375,19.0625,14.8125,15.8125,16.625,15.3125,14.25,7.75,10.5,10.125,9.0625,8.5625,12.125,12.75,16.0625,11.4375
11.0,7.0,1.0,8.0,10.0,7.0,15.0,30.0,39.0,29.0,43.0,47.0,28.0,11.0,53.0,64.0,119.0,189.0,165.0,222.0,231.0,95.0,155.0,136.0,77.0,106.0,38.0,51.0,28.0,32.0,9.0,28.0,5.0,2.0,1.0,0.0,2.0,11.0,1.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,116.0,47.0,7.0,12.0,20.0,101.0,376.0,96.0,95.0,81.0,57.0,57.0,58.0,63.0,84.0,107.0,10.0,51.0,22.0,24.0,15.0,23.0,26.0,37.0,42.0,48.0,156.0,59.0,15.0,35.0
2.0495049504950495,2.5247524752475248,3.4554455445544554,1.9603960396039604,3.0297029702970297,3.0594059405940595,2.4653465346534653,3.4158415841584158,2.5247524752475248,2.613861386138614,7.762376237623762,6.99009900990099,4.603960396039604,9.425742574257425,6.841584158415841,8.514851485148515,9.792079207920793,8.148514851485148,11.762376237623762,8.118811881188119,9.405940594059405,11.742574257425742,16.376237623762375,27.92079207920792,15.663366336633663,21.81188118811881,10.742574257425742,8.851485148514852,9.762376237623762,9.267326732673267,10.485148514851485,8.96039603960396,11.099009900990099,10.603960396039604,16.623762376237625,11.900990099009901,9.732673267326733,9.524752475247524,11.297029702970297,7.821782178217822,8.366336633663366
1.2074468085106382,1.2659574468085106,1.324468085106383,1.3085106382978724,1.2641843971631206,1.3049645390070923,1.2553191489361701,1.7553191489361701,1.0833333333333333,1.3439716312056738,3.5531914893617023,4.592198581560283,2.9627659574468086,4.400709219858156,4.654255319148936,4.549645390070922,4.631205673758865,4.719858156028369,5.5,4.904255319148936,4.24822695035461,4.4361702127659575,4.691489361702128,5.6861702127659575,5.684397163120567,5.23581560283688,3.9627659574468086,4.136524822695035,4.209219858156028,4.1436170212765955,4.618794326241135,3.75709219858156,5.5177304964539005,4.556737588652482,7.359929078014185,5.090425531914893,4.5212765957446805,4.468085106382978,4.207446808510638,4.5195035460992905,4.026595744680851
2.3911764705882352,2.7147058823529413,2.5029411764705882,2.1470588235294117,2.3441176470588236,2.4676470588235295,2.861764705882353,2.838235294117647,2.5352941176470587,2.5323529411764705,5.838235294117647,5.623529411764705,3.838235294117647,5.4147058823529415,5.676470588235294,5.323529411764706,6.202941176470588,5.823529411764706,6.047058823529412,6.485294117647059,5.523529411764706,6.091176470588235,6.461764705882353,8.48235294117647,9.955882352941176,7.779411764705882,7.670588235294118,6.7176470588235295,7.879411764705883,7.114705882352941,9.647058823529411,8.220588235294118,9.764705882352942,10.029411764705882,13.041176470588235,8.888235294117647,8.991176470588234,9.297058823529412,7.9411764705882355,7.035294117647059,8.170588235294117
8.629441624365482,5.913705583756345,6.893401015228426,8.025380710659899,8.532994923857869,6.761421319796955,6.873096446700508,10.786802030456853,6.284263959390863,5.730964467005077,5.629441624365482,7.619289340101523,4.903553299492386,7.852791878172589,8.035532994923859,8.081218274111675,7.0761421319796955,7.598984771573604,8.82233502538071,8.467005076142131,8.152284263959391,8.294416243654823,11.786802030456853,10.258883248730964,14.761421319796954,11.730964467005077,10.563451776649746,11.730964467005077,12.725888324873097,12.065989847715736,11.32994923857868,12.289340101522843,13.238578680203046,12.416243654822335,16.96954314720812,14.644670050761421,11.3248730964467,13.786802030456853,16.360406091370557,10.751269035532994,13.16243654822335
19.285714285714285,10.285714285714286,18.761904761904763,13.857142857142858,13.714285714285714,15.238095238095237,12.095238095238095,16.142857142857142,8.0,10.476190476190476,7.0,12.142857142857142,6.904761904761905,9.619047619047619,8.571428571428571,10.428571428571429,12.523809523809524,15.714285714285714,19.047619047619047,14.904761904761905,22.761904761904763,18.952380952380953,26.714285714285715,40.95238095238095,47.285714285714285,43.95238095238095,31.19047619047619,28.047619047619047,41.666666666666664,30.476190476190474,33.523809523809526,41.476190476190474,32.285714285714285,28.61904761904762,35.76190476190476,31.095238095238095,18.238095238095237,29.952380952380953,29.047619047619047,28.80952380952381,28.095238095238095
1.5934065934065933,1.5445665445665446,1.7277167277167278,1.6752136752136753,1.568986568986569,1.5897435897435896,1.8034188034188035,2.313797313797314,1.3504273504273505,1.7326007326007327,3.3443223443223444,3.5128205128205128,2.5763125763125765,3.3394383394383396,3.4945054945054945,2.554334554334554,2.3663003663003663,2.918192918192918,2.833943833943834,3.0024420024420024,2.098901098901099,2.0488400488400487,1.873015873015873,2.299145299145299,2.330891330891331,1.9304029304029304,1.8156288156288156,1.9474969474969475,1.8888888888888888,1.9645909645909645,2.2673992673992673,1.7973137973137974,2.6910866910866913,2.1868131868131866,3.935286935286935,2.318681318681319,1.982905982905983,1.866910866910867,1.8986568986568986,2.155067155067155,1.763125763125763
11.385185185185184,10.125925925925927,12.577777777777778,14.118518518518519,10.325925925925926,12.059259259259258,10.2,11.562962962962963,10.548148148148147,9.437037037037037,8.511111111111111,11.162962962962963,9.088888888888889,13.103703703703705,10.074074074074074,11.02962962962963,9.548148148148147,11.911111111111111,11.488888888888889,15.051851851851852,12.28888888888889,12.444444444444445,12.822222222222223,17.17037037037037,15.637037037037038,15.185185185185185,11.57037037037037,10.577777777777778,9.125925925925927,9.725925925925926,8.08148148148148,9.644444444444444,9.22962962962963,9.829629629629629,12.97037037037037,10.14074074074074,7.488888888888889,7.607407407407408,8.385185185185184,10.11111111111111,9.785185185185185
6.324232081911263,6.09556313993174,6.204778156996587,6.645051194539249,6.378839590443686,6.064846416382252,5.822525597269625,6.8839590443686,6.952218430034129,5.948805460750854,6.201365187713311,7.484641638225256,4.26962457337884,8.095563139931741,6.887372013651877,6.5426621160409555,7.4709897610921505,9.849829351535837,8.665529010238908,8.744027303754267,10.303754266211604,9.563139931740615,9.139931740614335,9.747440273037542,9.774744027303754,8.436860068259385,7.0580204778157,6.51877133105802,6.194539249146757,6.51877133105802,5.716723549488054,6.167235494880546,5.648464163822526,5.238907849829351,7.6825938566552905,5.4300341296928325,5.723549488054608,5.051194539249146,6.184300341296928,5.853242320819112,6.098976109215017
13.067567567567568,10.35135135135135,11.54054054054054,13.0,10.324324324324325,11.95945945945946,11.013513513513514,11.31081081081081,10.864864864864865,11.445945945945946,14.08108108108108,12.14864864864865,8.945945945945946,15.743243243243244,11.45945945945946,16.824324324324323,15.35135135135135,16.66216216216216,16.31081081081081,18.87837837837838,20.594594594594593,19.60810810810811,18.2027027027027,21.554054054054053,23.243243243243242,20.2972972972973,16.62162162162162,15.567567567567568,15.635135135135135,15.68918918918919,16.89189189189189,18.89189189189189,14.945945945945946,16.175675675675677,18.027027027027028,16.58108108108108,17.472972972972972,15.54054054054054,17.93243243243243,17.06756756756757,16.18918918918919
11.04524886877828,8.194570135746606,12.46606334841629,9.995475113122172,8.425339366515837,11.44343891402715,8.71945701357466,11.642533936651583,6.366515837104072,9.447963800904978,6.158371040723982,7.407239819004525,5.461538461538462,7.02262443438914,6.705882352941177,5.9457013574660635,6.217194570135747,5.108597285067873,6.0588235294117645,6.796380090497737,4.8099547511312215,5.642533936651584,5.660633484162896,7.425339366515837,7.520361990950226,7.402714932126697,7.099547511312217,6.117647058823529,6.864253393665158,6.538461538461538,7.067873303167421,7.0588235294117645,7.9366515837104075,6.619909502262443,10.108597285067873,7.447963800904978,5.588235294117647,5.520361990950226,6.266968325791855,7.316742081447964,6.429864253393665
39.24242424242424,11.515151515151516,28.0,21.242424242424242,20.484848484848484,22.96969696969697,16.515151515151516,39.72727272727273,10.424242424242424,8.151515151515152,10.0,10.818181818181818,6.848484848484849,10.878787878787879,11.090909090909092,11.878787878787879,11.303030303030303,11.090909090909092,13.06060606060606,14.606060606060606,10.121212121212121,12.212121212121213,16.727272727272727,25.87878787878788,25.606060606060606,23.96969696969697,17.363636363636363,11.909090909090908,15.636363636363637,13.696969696969697,12.727272727272727,15.363636363636363,16.545454545454547,16.393939393939394,18.0,15.090909090909092,13.030303030303031,14.515151515151516,17.727272727272727,12.696969696969697,17.151515151515152
15.5,49.333333333333336,46.166666666666664,49.083333333333336,46.75,27.416666666666668,28.0,24.083333333333332,37.416666666666664,32.25,21.083333333333332,47.583333333333336,14.0,29.583333333333332,20.166666666666668,22.0,22.5,21.0,16.166666666666668,22.916666666666668,15.166666666666666,17.416666666666668,11.25,19.5,15.75,18.583333333333332,8.083333333333334,9.5,7.666666666666667,10.75,15.166666666666666,15.333333333333334,9.916666666666666,9.5,19.666666666666668,9.75,9.666666666666666,10.166666666666666,12.583333333333334,13.333333333333334,10.833333333333334
8.18018018018018,15.162162162162161,15.54054054054054,17.65765765765766,16.99099099099099,9.504504504504505,9.486486486486486,11.99099099099099,20.64864864864865,10.26126126126126,7.5675675675675675,11.666666666666666,8.693693693693694,11.27927927927928,10.972972972972974,9.441441441441441,9.82882882882883,10.693693693693694,10.35135135135135,10.981981981981981,5.954954954954955,7.486486486486487,6.036036036036036,6.504504504504505,6.63963963963964,6.486486486486487,5.198198198198198,6.018018018018018,5.945945945945946,6.063063063063063,6.585585585585585,8.405405405405405,6.225225225225225,5.1441441441441444,8.522522522522523,5.945945945945946,5.954954954954955,6.225225225225225,6.072072072072072,7.324324324324325,5.81981981981982
5.912698412698413,7.073412698412699,6.376984126984127,6.388888888888889,7.688492063492063,5.9186507936507935,6.067460317460317,7.873015873015873,6.4226190476190474,5.263888888888889,5.325396825396825,5.380952380952381,4.625,5.442460317460317,5.648809523809524,4.013888888888889,4.573412698412699,4.228174603174603,4.309523809523809,5.071428571428571,3.505952380952381,3.6507936507936507,3.117063492063492,3.9206349206349205,3.740079365079365,3.251984126984127,2.628968253968254,2.8968253968253967,3.107142857142857,3.0555555555555554,2.9801587301587302,2.9742063492063493,3.9702380952380953,3.011904761904762,5.279761904761905,3.636904761904762,3.3154761904761907,3.136904761904762,3.369047619047619,3.2837301587301586,3.1051587301587302
14.782051282051283,26.0,19.615384615384617,20.435897435897434,15.371794871794872,16.653846153846153,24.435897435897434,19.08974358974359,18.064102564102566,23.5,15.846153846153847,22.833333333333332,13.961538461538462,20.67948717948718,19.358974358974358,17.53846153846154,17.5,15.948717948717949,16.923076923076923,19.23076923076923,11.76923076923077,12.717948717948717,12.153846153846153,10.35897435897436,9.705128205128204,8.756410256410257,9.448717948717949,10.0,8.5,7.448717948717949,10.833333333333334,9.256410256410257,7.884615384615385,6.166666666666667,8.294871794871796,7.294871794871795,6.461538461538462,7.089743589743589,6.769230769230769,7.5,7.6923076923076925
